LSTM,lgbm,TRUE
0.061115216,0,1
0.039294098,0,1
0.09079464,1,1
0.17541845,0,1
0.21147172,1,1
0.066397086,0,1
0.6760357,1,1
0.7600589,1,1
0.61624473,1,1
0.9187446,1,1
0.85450935,1,1
0.8907548,1,1
0.94627154,1,1
0.033833973,0,1
0.018079419,1,1
0.11568094,0,1
0.20126677,0,1
0.07617386,1,1
0.17228986,1,1
0.55620754,1,1
0.7763521,1,1
0.10113705,1,1
0.81478417,0,1
0.6904911,1,1
0.23155038,0,1
0.19689512,1,1
0.09014138,0,1
0.8785765,0,0
0.05486202,1,0
0.34353977,1,0
0.19088165,1,0
0.06664318,1,0
0.44503307,1,0
0.35386124,1,0
0.31898922,0,0
0.060577,1,0
0.77549493,1,0
0.08453516,1,0
0.043967932,1,0
0.3654428,1,0
0.043676965,0,0
0.975088,0,0
0.29363683,1,0
0.19750749,1,0
0.7552193,0,0
0.8260617,1,0
0.7985751,1,0
0.06908861,1,0
0.23355861,0,0
